L,SI,Enterprise,A,A-,,,PT. Wilmar Nabati Indonesia,Gresik
L,SI,Enterprise,A-,A,,,PT. Wilmar Nabati Indonesia,Gresik
L,SI,Enterprise,A,A-,,,PT. Wilmar Nabati Indonesia,Gresik
L,SI,Enterprise,A-,B+,,,PT. INKA Madiun ,Madiun
L,SI,Enterprise,A-,A,,,PT. POS,Sidoarjo
L,SI,Enterprise,A,A,,,Badan Penelitian dan Pengembangan Provinsi Jawa Timur,Surabaya
L,SI,Enterprise,A,A,,,Delta Sinergi Prima,Surabaya
L,SI,Enterprise,A,A,,,Dinas Tenaga Kerja dan Transmigrasi Provinsi Jawa Timur,Surabaya
L,SI,Enterprise,A-,A-,,,IT Nusaindotechnolog,Surabaya
L,SI,Enterprise,A,B+,,,Pelindo III,Surabaya
L,SI,Enterprise,B+,B+,,,PT. Kinetic Digital Indonesia,Surabaya
L,SI,Enterprise,A,A,,,PT. Kinetic Digital Indonesia,Surabaya
L,SI,Enterprise,B,A,,,Badan Penelitian dan Pengembangan Provinsi Jawa Timur,Surabaya
L,SI,Enterprise,B+,B+,,,Pelindo III,Surabaya
P,SI,Enterprise,A,A-,,,KPP PRATAMA MOJOKERTO,Mojokerto
P,SI,Enterprise,A,A-,,,KPP PRATAMA MOJOKERTO,Mojokerto
P,SI,Enterprise,A,A,,,PT BOEMI WELIRANG MODJOPAHIT,Mojokerto
P,SI,Enterprise,A-,A-,,,KPP PRATAMA MOJOKERTO,Mojokerto
P,SI,Enterprise,A,A,,,Alit Indonesia,Surabaya
P,SI,Enterprise,A,A,,,Badan Pusat Statistika Kota Surabaya,Surabaya
P,SI,Enterprise,A,A,,,BID TIK Polda Jatim,Surabaya
P,SI,Enterprise,A,A,,,Distrik Navigasi Kelas 1 Surabaya,Surabaya
P,SI,Enterprise,A-,A,,,IT Nusaindotechnolog,Surabaya
P,SI,Enterprise,B+,B+,,,Pelindo III,Surabaya
P,SI,Enterprise,A,A,,,PT Kasir Pintar Internasional,Surabaya
P,SI,Enterprise,B+,A,,,PT. Kinetic Digital Indonesia,Surabaya
P,SI,Enterprise,A,A,,,Delta Sinergi Prima,Surabaya
P,SI,Enterprise,A,A,,,IT Nusaindotechnolog,Surabaya
L,SI,Tata Kelola TI,,,A,B+,PT. Wilmar Nabati Indonesia,Gresik
L,SI,Tata Kelola TI,,,B+,B+,PT. Eastern Logistics,Lamongan
L,SI,Tata Kelola TI,,,B+,B+,PT. Eastern Logistics,Lamongan
L,SI,Tata Kelola TI,,,A,A,PT. INKA Madiun ,Madiun
L,SI,Tata Kelola TI,,,A-,A-,Jahitin,Sidoarjo
L,SI,Tata Kelola TI,,,A,A-,PT. POS,Sidoarjo
L,SI,Tata Kelola TI,,,A,A,PT. POS,Sidoarjo
L,SI,Tata Kelola TI,,,A-,A,Badan Penelitian dan Pengembangan Provinsi Jawa Timur,Surabaya
L,SI,Tata Kelola TI,,,A,A,PT. Perkebunan Nusantara XII,Surabaya
L,SI,Tata Kelola TI,,,B+,A-,PT. Perkebunan Nusantara XII,Surabaya
P,SI,Tata Kelola TI,,,B+,B,PT. Eastern Logistics,Lamongan
P,SI,Tata Kelola TI,,,A,A,PT. INKA Madiun ,Madiun
P,SI,Tata Kelola TI,,,A-,A,Delta Sinergi Prima,Surabaya
P,SI,Tata Kelola TI,,,A-,A-,Dinas PU Bina Marga Provinsi Jawa Timur,Surabaya
P,SI,Tata Kelola TI,,,A-,A-,Dinas Tenaga Kerja dan Transmigrasi Provinsi Jawa Timur,Surabaya
P,SI,Tata Kelola TI,,,A-,A,Dinas Tenaga Kerja dan Transmigrasi Provinsi Jawa Timur,Surabaya
P,SI,Tata Kelola TI,,,B+,B,PT. Perkebunan Nusantara XII,Surabaya
P,SI,Tata Kelola TI,,,A-,B,"PT. SPINDO,Tbk",Surabaya
P,SI,Tata Kelola TI,,,B+,B+,PT. Taspen,Surabaya
P,SI,Tata Kelola TI,,,A-,B,PT. Taspen,Surabaya
P,SI,Tata Kelola TI,,,A-,A-,Dinas Tenaga Kerja dan Transmigrasi Provinsi Jawa Timur,Surabaya
P,SI,Tata Kelola TI,,,A-,A-,Dinas Pekerjaan Umum Sumber Daya Air Provinsi Jawa Timur,Surabaya
